id,Title,Authors,Description,Category,Publisher,Publish Date,impressions,clicks
17985,The House at Pooh Corner (Winnie-the-Pooh),"By Milne, A. A. and Shepard, Ernest H. (ILT)","Happy 90th birthday, to one of the world's most beloved icons of children's literature, Winnie-the-Pooh! Return to the Hundred Acre Wood in A.A. Milne’s second collection of Pooh stories, The House at Pooh Corner. Here you will rediscover all the characters you met in Winnie-the-Pooh: Christopher Robin, Eeyore, Owl, Piglet, Kanga, tiny Roo, and, of course, Pooh himself. Joining them is the thoroughly bouncy and lovable Tigger, who leads the rest into unforgettable adventures. Since 1926, Winnie-the-Pooh and his friends have endured as the unforgettable creations of A.A. Milne, who wrote these stories for his son, Christopher Robin, and Ernest H. Shepard, who lovingly gave Pooh and his companions shape. These characters and their stories are timeless treasures of childhood that continue to speak to all of us with the kind of freshness and heart that distinguishes true storytelling.  The adventures of Christopher Robin, Winnie-the-Pooh, and all their friends in the storied Forest around Pooh Corner. ""This is an example of a sequel in which there seems to be no letdown, and from all sides I catch echoes of most joyous reaction to it."" --- New York Herald Tribune, 1928"," Juvenile Fiction , Toys, Dolls & Puppets",Puffin Books,"Saturday, August 1, 1992",0,0
22009,"meowWOW!: Curiously Compelling Facts, True Tales, and Trivia Even Your Cat Won't Know","By Becker, Marty, Spadafori, Gina, and Pearce, Molly (ILT)","Are You Crazy About Cats? Prove it! With this illustrated quirky compendium of all things cats, you will delight in the most obscure factoids about the history, the biology, and the quizzical nature of our feline friends that will test your knowledge and fill you with wisdom. Whether you're a cat lover, a trivia buff, or searching for information before you adopt your first kitten or adult cat, everything you always wanted to know (and everything you didn't think of asking) is revealed! Who's the smartest cat on record (besides yours!)? Why do cats chatter? What are the most popular cat names? When can a kitten use a litter box? Why does your cat lick you? Why do cats eat grass? Is catnip a good treat? Jam-packed with tips from two of America 's most well-known feline experts—Marty Becker, D.V.M., and syndicated pet-care columnist Gina Spadafori—the cat really is out the bag thanks to this charming gift book."," Pets , Cats , General",Hci,"Thursday, November 1, 2007",0,0
10757,Nature's Numbers: The Unreal Reality of Mathematics (Science Masters Series),"By Stewart, Ian","Mathematics is, Ian Stewart admits, totally unreal - an entirely mental construct. Furthermore, the complicated equations and lengthy proofs we usually identify as math are no more the essence of math than a musical score is a Beethoven symphony. Yet math is the best tool we have for understanding the world around us. By looking at the universe through mathematical eyes, we have discovered a great secret: nature's patterns are clues to the deep regularities that govern the way the world works.Mathematics is to nature as Sherlock Holmes is to evidence. It can look at a single snowflake and deduce the atomic structure of ice crystals; it can start with a violin string and uncover the existence of radio waves. And mathematics still has the power to open our eyes to new and unsuspected regularities: the secret structure of a cloud or the hidden rhythms of the weather.Nature's Numbers will equip you with a mathematician's eyes. It will take you sight-seeing in a mathematical universe. And it will change the way you view your own world."," Mathematics , General",BasicBooks,"Saturday, July 1, 1995",0,0
38426,The Island Stallion (Black Stallion),"By Farley, Walter and Ward, Keith (ILT)","When Steve Duncan is asked to go on an archeological search on a remote Caribbean island, he never imagines the stallion he will find there. But the giant horse is unapproachable, showing nothing but fear and fury towards people. When the stallion gets caught in quicksand, can Steve get close enough to save the wild horse?"," Young Adult Fiction , Animals , Horses",Yearling,"Saturday, March 1, 1980",0,0
40587,The Book and the Brotherhood: A Story about Love and Friendship and Marxism (Penguin Fiction),"By Murdoch, Iris","A story about love and friendship and MarxismMany years ago Gerard Hernshaw and his friends “commissioned” one of their number to write a political book.Time passes and opinions change. “Why should we go on supporting a book which we detest?” Rose Curtland asks. “The brotherhood of Western intellectuals versus the book of history,” Jenkin Riderhood suggests. The theft of a wife further embroils the situation. Moral indignation must be separated from political disagreement.Tamar Hernshaw has a different trouble and a terrible secret. Can one die of shame? In another quarter a suicide pact seems the solution. Duncan Cambus thinks that since it is a tragedy, someone must die. Someone dies. Rose, who has gone on loving without hope, at least deserves a reward."," Fiction , Literary",Penguin Books,"Sunday, January 1, 1989",0,0
77769,"Water Gardens: How to Design, Install, Plant and Maintain a Home Water Garden","By Heriteau, Jacqueline and Thomas, Charles B.","In this definitive book, readers will learn how to create and maintain water features--ponds, fountains, waterfalls, and small containers--and how to plant the garden and stock it with fish. An illustrated encyclopedia of 200 hardy and tropical lilies, the sacred lotus, delicate floating plants, and plants for pond edges makes this an authoritative book on the subject."," Gardening , Techniques",Mariner Books,"Thursday, February 1, 1996",0,0
60332,The Girls from Ames: A Story of Women and a Forty-Year Friendship,"By Zaslow, Jeffrey","The instant New York Times bestseller, now in paperback: a moving tribute to female friendships, with the inspiring story of eleven girls and the ten women they became, from the coauthor of the million-copy bestsellerThe Last Lecture As children, they formed a special bond, growing up in the small town of Ames, Iowa. As young women, they moved to eighth different states, yet they managed to maintain an extraordinary friendship that would carry them through college and careers, marriage and motherhood, dating and divorce, the death of a child, and the mysterious death of the eleventh member of their group. Capturing their remarkable story,The Girls from Ames is a testament to the enduring, deep bonds of women as they experience life's challenges, and the power of friendship to overcome even the most daunting odds.The girls, now in their forties, have a lifetime of memories in common, some evocative of their generation and some that will resonate with any woman who has ever had a friend.The Girls from Ames demonstrates how close female relationships can shape every aspect of women's lives-their sense of themselves, their choice of men, their need for validation, their relationships with their mothers, their dreams for their daughters-and reveals how such friendships thrive, rewarding those who have committed to them. With both universal events and deeply personal moments, it's a book that every woman will relate to and be inspired by."," Biography & Autobiography , Personal Memoirs",Gotham,"Wednesday, April 1, 2009",0,0
57196,Tight End (Matt Christopher Sports Classics),"By Christopher, Matt",A high school football player believes the harassment he is experiencing on and off the field is due to his father's prison record.," Juvenile Fiction , Sports & Recreation , Football","Little, Brown Books for Young Readers","Monday, September 1, 1986",0,0
52207,The Irishman's Horse,"By Collins, Michael","One-armed detective Dan Fortune finds a new mystery when he is hired to investigate the disappearance of a U.S. Embassy attache in Guatemala, leading to untold dangers as he encounters an international drug smuggler known as ""The Irishman"""," Fiction , General",Dutton Adult,"Friday, February 1, 1991",0,0
13195,Frommer's Comprehensive Travel Guide: Toronto '95,"By Wood, Marilyn","Offers information on lodgings, restaurants, sights, and activities, and includes practical travel advice and tips on local excursions"," Travel , Canada , Ontario (ON)",Frommer,"Thursday, June 1, 1995",0,0
81069,The Anatomy & Physiology Learning System,"By Applegate, Edith J.","This popular text takes a dynamic and accessible approach to a complex and often intimidating subject. Colorful and eye-catching, it cuts straight to the basics readers need to know, emphasizing medical terminology and clinical applications in an easy-to-grasp fashion. 595 illustrations (280 in full color) make anatomy and physiology come alive."," Medical , Physiology",Saunders,"Saturday, January 1, 2000",0,0
84561,Making It All Work: Winning at the Game of Work and the Business of Life,"By Allen, David","The companion to the blockbuster bestseller, Getting Things Done. Since its publication in 2001, Getting Things Done has become, as Time magazine put it, ""the defining self-help business book"" of the decade. Having inspired millions of readers around the world, it clearly spoke to an urgent need in an increasingly time-pressured society. Now, in the highly anticipated sequel Making It All Work, Allen unlocks the full power of his methods across the entire span of life and work.While Getting Things Done functioned as an essential tool kit, Making It All Work is an invaluable road map, providing both bearings to help you determine where you are in life and directions on how to get to where you want to go."," Self-help , Personal Growth , Success",Penguin Books,"Tuesday, December 1, 2009",0,0
1760,Before the Change: Taking Charge of Your Perimenopause,"By Gittleman, Ann Louise","From renowned nutritionist and author of the bestselling Fat Flush Plan comes a revised and updated guide to taking charge of your perimenopause. Filled with the latest research as well as practical tips and menus, Gittleman also incorporates timely information, especially pertaining to Hormone Replacement Therapy. Learn How You Can head off Depression and Mood Swings, Weight Shifts, Erratic Sleep, Memory Loss, and Other Changes Leading to Menopause. Take charge of your perimenopause simply, safely, and naturally! This breakthrough book details a gentle incremental program for understanding your own changes and offers a wide range of options for taking care of yourself. By following the author's proven techniques for controlling the symptoms of perimenopause, you can continue to feel great through this vital phase of your life. With this essential do–it–yourself program, you can say good–bye to hormone havoc and sail through your perimenopause, the period of about ten years leading up to menopause, by understanding and controlling its symptoms. Before the Change. .clearly explains the symptoms of perimenopause and offers a self–diagnosis quiz; .details safe and natural alternatives to hormone therapy, including healing vitamins, minerals, herbs and natural hormones.gives you a powerful Changing Diet, with tips and recipes for foods that prevent and alleviate symptoms"," Health & Fitness , Women's Health",HarperOne,"Monday, December 1, 2003",0,0
40127,"Without Remorse (John Clark Novel, A)","By Clancy, Tom","SOON TO BE A MAJOR MOTION PICTURE STARRING MICHAEL B. JORDAN!From Tom Clancy, the celebrated author of the Jack Ryan series, comes the #1 New York Times bestseller that puts CIA operative John Clark front and center....His code name is Mr. Clark. His work for the CIA is brilliant, cold-blooded and efficient...But who is he really?In a harrowing tour de force, Tom Clancy shows how an ordinary man named John Kelly crossed the lines of justice and morality to become the CIA legend, Mr. Clark.It is an unforgettable journey into the heart of darkness. Without mercy. Without guilt. Without remorse."," Fiction , Thrillers , Suspense",Berkley,"Monday, August 1, 1994",0,0
50245,The Year of Yes,"By Headley, Maria Dahvana","Like many young people everywhere, playwright Maria Headley had had her fill of terrible dates. Discouraged and looking for love, she decided the time had come for her to eliminate her own (clearly not adequately discriminating) taste from the equation. Instead-as she vowed to her roommates one frustrated morning-she would date every person who asked her out for an entire year, regardless of circumstances. It would be her Year of Yes.Leaving her judgment and predispositions at the door, our heroine ventured into a world suddenly brimming with opportunity and found herself saying yes to:l-The Microsoft Millionaire who still lived with his mom.l-An actor she had previously sworn off as gay.l-And finally the significantly older man, divorced with kids, who she never would have looked at twice before the Year of Yes-and to whom she is now happily married.Hilariously funny and ultimately inspirational, The Year of Yes will appeal to every person who has turned down a date for the wrong reason."," Biography & Autobiography , Personal Memoirs",HYPERION,"Sunday, January 1, 2006",0,0
60967,The Voyage: A Novel,"By Caputo, Philip","Philip Caputo's The Voyage is a multilayered novel that unfolds simultaneously as a mystery, a coming-of-age nautical adventure, a family drama, and a snapshot of an era. The questions, discussion topics, and author biography that follow are intended to enhance your group's reading of this gripping story that transcends time to become a testimony of the American experience. On a beautiful June day in New England at the end of the nineteenth century, Cyrus Braithwaite, a self-made Boston industrialist and former Florida ship wrecker, sends his three teenage sons off on their yacht and mysteriously tells them not to return until the end of the summer. His parting words--'It's a new century, boys'--ring in Nathaniel's, Eliot's, and Drew's minds as they set sail aboard the Double Eagle down the East Coast to the Florida Keys and are finally shipwrecked off the coast of Havana. Left behind are the boys mother, who is in a hospital in Boston recovering from a hysterectomy and Cyrus' son, the boys' half-brother, Lockwood. Today, at the end of the twentieth century, the details of the brothers' voyage are pieced together from ship logs and ancestral diaries by Sybil Braithwaite, their descendant. After picking up Will, their college friend in Maine, the boys decide to sail to the Florida Keys where Cyrus's last wreck, the Annisquam , lies below the remote key of Dry Tortugas. After days of sailing, they weather a storm that brings them near Beaufort, South Carolina, their mother's birthplace. In search of funds to repair their vessel, they visit their mother's wealthy aunt whom they have never met. While there, questions and suspicions about their mother's past begin to surface. Determined to reach their destination, the boys continue sailing the repaired boat to the Florida Keys in search of their father's former first mate who holds the secret of their Cyrus's last maritime adventure. Although they triumphantly reach the remains of the sunken Annisquam , the sea and the weather conspire against the sailors. They find themselves stranded in Havana with no easy passage home. As Sybil attempts to solve the mystery of her ancestors' journey, she unearths the family's deepest secrets and a shameful, inescapable truth. The supreme power of the sea, the enduring hand of history, and the strength of family collide in The Voyage 's explosive conclusion."," Fiction , Literary",Vintage,"Wednesday, November 1, 2000",0,0
18379,Golf Is a Game of Confidence,"By Rotella, Robert J. and Cullen, Robert","From the author of the bestselling Golf is Not a Game of Perfect comes a masterly illumination of golf's mental game.When that book was published, Dr Bob Rotella made accessible for the first time what he had learned from working with the best golfers in the world. Dr Rotella follows up the success of Golf is Not a Game of Perfect with a book filled with anecdotes and motivational instruction focusing on the most important skill a golfer can have: the ability to think confidently. Filled with inspirational stories about the great players, great courses and great tournaments, Golf Is a Game of Confidence encourages golfers, no matter what their level, to reach new heights in their games and their lives."," Sports & Recreation , Golf",Simon & Schuster,"Wednesday, May 1, 1996",0,0
47903,Don't Panic - Dinner's in the Freezer: Great-Tasting Meals You Can Make Ahead,"By Martinez, Susie, Howell, Vanda, and Garcia, Bonnie","Hectic lifestyles and over-full schedules make traditional cooking methods nearly obsolete in many families. The results are poor nutrition and budgets strained by the high cost of fast food or commercially prepared meals. Don't Panic-Dinner's in the Freezer offers a simple and economical alternative, featuring dozens of recipes designed to be prepared and frozen for future use.With over 23,000 copies sold in its original self-published edition, this book gives practical tips for planning, organizing, and shopping for meals, as well as unique ways to freeze and reheat prepared foods. Every recipe includes measurements for cooking alone or as a joint venture with one or two friends. Families, singles, retirees-everyone who needs to eat-will find fast and easy answers to the question, ""What's for dinner?"""," Cooking , Methods , Quick & Easy",Revell,"Thursday, September 1, 2005",0,0
41197,The True Meaning of Cleavage,"By Fredericks, Mariah","Cool is cool and geek is geek, and at Eldridge the two definitely do not mix.Sari and Jess are best friends and total opposites. They've liked each other ever since they discovered that they are the only two normal people at Eldridge Alternative. As they prepare to face the trials of ninth grade, Sari is psyched. Jess is not. How can she face the Prada Mafia, the most evil clique in school? Or Mr. McGuiness's unnervingly long nose hair? What if something really interesting happens to Sari and nothing whatsoever happens to Jess?But not even Jess can predict the mayhem that erupts when Sari falls madly in love with David Cole. David is a senior. He's been dating Thea Melendez for forever. So he couldn't possibly be interested in Sari. Or could he? And if he is, where does that leave Jess?"," Young Adult Fiction , School & Education , General",Simon Pulse,"Saturday, May 1, 2004",0,0
42634,The Long Secret,"By Fitzhugh, Louise",Harriet spends her summer at the beach town of Water Mill looking for the person who is sending mysterious notes to the townspeople," Juvenile Fiction , Social Themes , Friendship",Trophy Pr,"Tuesday, May 1, 1990",0,0
22276,Keeping Faith: A Father-Son Story About Love and the United States Marine Corps,"By Schaeffer, Frank","In 1998, Frank Schaeffer was a successful novelist living in “Volvo-driving, higher-education worshipping” Massachusetts with two children graduated from top universities. Then his youngest child, straight out of high school, joined the U.S. Marine Corps. Written in alternating voices by eighteen-year-old John and his father, Frank, Keeping Faith takes readers in riveting fashion through a family’s experience of the U.S. Marine Corps. From being broken down and built back up on Parris Island (and being the parent of a child undergoing that experience), to the growth of both father and son and their separate reevaluations of what it means to serve. From Frank’s realization that among his fellow soccer dads “the very words ‘boot camp’ were pejorative, conjuring up ‘troubled youths at risk’ “ to John’s learning that “the Marine next to you is more important than you are,” Keeping Faith is a fascinating and personal reconsideration of issues of class, duty, and patriotism. But as John and his fellow recruits battle to make the cut—and John’s family struggles to deal with the worry and separation, it is also an extremely timely, moving, and wonderfully written human interest story—a moving chronicle of love, duty and patriotism in contemporary America. “Beautifully written ... great insight and unselfconscious humor.”—Publishers Weekly"," Biography & Autobiography , Military",Carroll & Graf,"Thursday, August 1, 2002",0,0
55510,Encyclopedia of Southern Culture,"By Wilson, Charles Reagan and Ferris, William","The American South is a geographical entity, a historical fact, a place in the imagination, and the homeland of an array of Americans who consider themselves southerners.  The region is often shrouded in romance and myth, but its realities are as intriguing, as intricate, as its legends.The Encyclopedia of Southern Culture is ""the first attempt ever"" notes U.S. News & World Report, ""to describe every aspect of a region's life and thought, the impact of its history and policies, its music and literature, its manners and myths, even the iced tea that washes down its catfish and cornbread.""There are many Souths, many southerners.  The region's fundamental uniqueness, in fact, lies in its peculiar combination of cultural traits, a somewhat curious, often elusive blend created by blacks and whites who have lived together for more than 300 years.  In telling their stories, the Encyclopedia of Southern Culture ranges from grand historical themes to the whimsical; from the arts and high culture (William Faulkner and Leontyne Price) to folk culture (quilts, banjos, and grits) to popular culture (Gilley's and Gone With the Wind).The Encyclopedia's definition of the South is a cultural one: the South is found wherever southern culture is found.  Although the focus is on the eleven states of the former Confederacy, this volume also encompasses southern outposts in midwestern and middle-Atlantic border states, even the southern pockets of Chicago, Detroit, and Bakersfield.To foster a deeper understanding of the South's cultural patterns, the editors have organized this reference book around twenty-four thematic sections, including history, religion, folklore, language, art and architecture, recreation, politics, the mythic South, urbanization, literature, music, violence, law, and media.  The life experiences of southerners are discussed in sections on black life, ethnic life, and women's life.  Throughout, the broad goal is to identify the forces that have supported either the reality or the illusion of the southern way of life -- people, places, ideas, institutions, events, symbols, rituals, and values.The Encyclopedia of Southern Culture was developed by the Center for the Study of Southern Culture at the University of Mississippi. Contributors to the volume include historians, literary critics, sociologists, anthropologists, geographers, linguists, theologians, folklorists, architects, ecologists, lawyers, university presidents, newspaper reporters, magazine writers, and novelists."," Reference , Encyclopedias",The University of North Carolina Press,"Friday, September 1, 1989",0,0
57232,Discovery Of The Titanic (Exploring The Greatest Of All Lost Ships),"By Ballard, Robert D. and Archbold, Rick",Highlights the first-hand account of the exploration of the Titanic shipwreck," History , General",Warner/Madison Press,"Monday, February 1, 1988",0,0
82612,"The Elusive Bride (Black Cobra Quartet, 2)","By Laurens, Stephanie","Stephanie Laurens, the phenomenal New York Times bestselling superstar is back with The Elusive Bride—the second book in her magnificent Black Cobra Quartet. Never before in print, this masterful blend of passion and intrigue follows The Untamed Bride, the first in the four-part historical romance series that Booklist calls, “fabulously entertaining.” A spellbinding tale of destiny, duty, desire, and peril—with ties to her popular Bastion Club novels and her well-loved romantic adventures featuring the endearing family of rogues, the Cynsters—The Elusive Bride confirms Laurens’s well-deserved standing as one of the genre’s premier storytellers."," Fiction , Romance , Historical , General",Avon,"Friday, January 1, 2010",0,0
56914,A Letter to America,"By Boren, David","A powerful wake-up call to all AmericansWith only 6 percent of the world’s population, how long will the United States remain a global superpower? The answer, David Boren tells us in A Letter to America, depends on asking ourselves tough questions. A powerful wake-up call to Americans, A Letter to America, forces us to take a bold, objective look at ourselves.In A Letter to America, Boren explains with unsparing clarity why the country is at a crossroads and why decisive action is urgently needed and offers us an ambitious, hopeful plan.What the country needs, Boren asserts, are major reforms to restore the ability of our political system to act responsibly. By relying on our shared values, we can replace cynicism with hope and strengthen our determination to build a better future. We must fashion a post–Cold War foreign policy that fits twenty-first-century realities—including multiple contending superpowers. We must adopt campaign finance reform that curbs the influence of special interests and restores political power to the voters. Universal health care coverage, budget deficit reduction, affordable higher education, and a more progressive tax structure will strengthen the middle class.Boren also describes how we can renew our emphasis on quality primary and secondary education, revitalize our spirit of community, and promote volunteerism. He urges the teaching of more American history and government, for without educated citizens our system cannot function and our rights will not be preserved. Unless we understand how we became great, we will not remain great.The plan Boren puts forward is optimistic and challenges Americans to look into the future, decide what we want to be and where we want to go, and then implement the policies and actions we need to take us there."," Political Science , Essays",University of Oklahoma Press,"Saturday, March 1, 2008",0,0
47382,Creating Your Future: Personal Strategic Planning for Professionals,"By Morrisey, George L.","A practical guide to help professional (within organization and/or independent contractors) use strategic planning for their own professional success and satisfying personal life. Worksheets, checklists, and charts help clarify personal values, financial concerns, career growth objectives, and business interests."," Business & Economics , General",Berrett-Koehler Publishers,"Tuesday, September 1, 1992",0,0
83035,"Screamfree Parenting, 10th Anniversary Revised Edition: How to Raise Amazing Adults by Learning to Pause More and React Less","By Runkel, Hal Edward","WANT A PEACEFUL HOME? This practical, effective guide for parents with kids of all ages introduces proven principles for overcoming the stress and anxiety of parenting, forged in the personal trenches of countless Screamfree families. If you’re like most parents, what you want right now is pretty simple: an effective plan for getting your kids to behave and be happy. You’re probably looking for something else as well – something a little deeper. Like many other parents all over the world, you want to know you’re doing a good job. You want to feel like you can handle anything. You want to feel confident, competent, and hopeful for the future, for both your kids and yourself. (Oh, and along the way, you’d like a little peace, quiet, and respect as well.)All of the above are possible, even probable, if you can learn to become “Screamfree.” You can have the structured, rewarding home life you’ve always craved, with respectful kids who are responsible for their own actions. All you have to do is learn to pause, so you can respond more and react less. It really is that simple. Once you learn to control your own emotions and behavior, your children will soon learn how to control theirs. Now is your chance to join thousands of other parents in a movement of calmer parenting. The new, revised edition includes updated practical applications of the foundational Screamfree principles, a new chapter on parenting in the digital age, and a comprehensive Q&A section dealing with everything from behavioral problems to allowances and chores. A peaceful home is closer than you think."," Family & Relationships , Parenting , General",Broadway Books,"Friday, August 1, 2008",0,0
46718,Turn Off the Water and Lights! (Survival Series for Kids),"By Berry, Joy Wilt",Discusses the need for water and electricity conservation and offers tips for saving energy inside and outside the home.," House & Home , General",W Pub Group,"Friday, June 1, 1984",0,0
50927,Survival Kit for Overseas Living: For Americans Planning to Live and Work Abroad,"By Kohls, L. Robert","An updated handbook provides vital insights into the process of cross-cultural adaptation and advises Americans on how to cope with the culture shock they will encounter while living, studying, and working abroad. Original."," Social Science , General",UNKNO,"Saturday, June 1, 1996",0,0
78783,The 10 Women You'll Be Before You're 35,"By James, Alison","Everyone - from your mother to your boyfriend - is always telling you who you are and who you should be. But who are you, really, and who do you really want to be? New Graduate; Dollarless Diva; Worker Bee; Party Girl; Body-Conscious Babe; Chameleon; Crisis Chick; Ms. Independence; Wirl (half woman/half girl); True You. In The 10 Women You'll Be Before You're 35, author Alison James takes you on a journey of self-discovery - from wide-eyed ingenue to the real woman you were born to become. You'll learn how to finesse each phase with poise - experimenting with abandon but ultimately keeping only what perfectly fits the True You. With The 10 Women You'll Be Before You're 35, you'll dare to become the woman you never dreamed you could be!"," Social Science , Women's Studies",Adams Media,"Tuesday, February 1, 2005",0,0
